tagged text	entity type	term id
shore	-27	ENVO:00000304
coastal	-27	ENVO:00000090
coastal	-27	ENVO:00000303
littoral	-27	ENVO:00000303
littoral	-27	ENVO:00000316
AMPHINoMIDa	-2	NCBI:104701
Euphrosyne	-2	NCBI:2042396
Benthoscolex	-2	NCBI:2070534
Notopygos	-2	NCBI:1288823
acarunculata	-2	NCBI:266366
P. ambigua	-2	NCBI:1324435
P. ambigua	-2	NCBI:1375871
P. ambigua	-2	NCBI:141758
P. ambigua	-2	NCBI:1426875
P. ambigua	-2	NCBI:1497768
P. ambigua	-2	NCBI:168077
P. ambigua	-2	NCBI:172633
P. ambigua	-2	NCBI:196576
P. ambigua	-2	NCBI:2072281
P. ambigua	-2	NCBI:212392
P. ambigua	-2	NCBI:301200
P. ambigua	-2	NCBI:373308
P. ambigua	-2	NCBI:572122
P. ambigua	-2	NCBI:613573
P. ambigua	-2	NCBI:690760
P. ambigua	-2	NCBI:73123
P. ambigua	-2	NCBI:881918
Chloeia	-2	NCBI:311991
talpa	-2	NCBI:9374
hystrix	-2	NCBI:10136
hystrix	-2	NCBI:365595
H. arabica	-2	NCBI:1820599
H. arabica	-2	NCBI:1917741
H. lunulata	-2	NCBI:102866
pallida	-25	BTO:0002246
caroli	-2	NCBI:1027115
N. grimaldii	-2	NCBI:1129392
Sigalion	-2	NCBI:104729
Leanira	-2	NCBI:328609
japonica	-2	NCBI:73258
Panthalis	-2	NCBI:318814
Chrysopetalum	-2	NCBI:115832
Phyllodoce madeirensis	-2	NCBI:1981576
Notophyllum	-2	NCBI:329461
Lopadorhynchus	-2	NCBI:758489
L. brevis	-2	NCBI:1580
L. brevis	-2	NCBI:1587374
L. brevis	-2	NCBI:1658078
L. brevis	-2	NCBI:2004711
L. brevis	-2	NCBI:78435
L. brevis	-2	NCBI:1580
L. brevis	-2	NCBI:1587374
L. brevis	-2	NCBI:1658078
L. brevis	-2	NCBI:2004711
L. brevis	-2	NCBI:78435
Vanadis formosa	-2	NCBI:887200
Johnstonella	-2	NCBI:1213301
Tomopteris	-2	NCBI:397573
Johnstonella	-2	NCBI:1213301
T. cavallii	-2	NCBI:1331092
T. planktonis	-2	NCBI:2004712
Hesione	-2	NCBI:378380
Syllis variegata	-2	NCBI:418379
gracilis	-25	BTO:0000536
Syllis	-2	NCBI:418360
Haplosyllis	-2	NCBI:199559
spongicola	-2	NCBI:1873860
Trypanosyllis zebra	-2	NCBI:418384
Nereis	-2	NCBI:6351
Nereis	-2	NCBI:6351
N. zonata	-2	NCBI:1904289
N. zonata	-2	NCBI:40609
N. zonata	-2	NCBI:601990
N. zonata	-2	NCBI:880888
Platynereis	-2	NCBI:6358
Ceratonereis mirabilis	-2	NCBI:1267194
Leonnates	-2	NCBI:2066906
Nephthys	-2	NCBI:36120
N. inermis	-2	NCBI:113159
N. inermis	-2	NCBI:1488246
N. inermis	-2	NCBI:150970
N. inermis	-2	NCBI:1968028
N. inermis	-2	NCBI:245786
N. inermis	-2	NCBI:259618
Glycera	-2	NCBI:6349
Goniada	-2	NCBI:222000
E. antennata	-2	NCBI:1207188
E. antennata	-2	NCBI:2173426
E. antennata	-2	NCBI:365161
E. tentaculata	-2	NCBI:1522344
E. tentaculata	-2	NCBI:576746
Marphysa	-2	NCBI:104738
Lysidice collaris	-2	NCBI:381129
Onuphis	-2	NCBI:271768
O. eremita	-2	NCBI:2066900
O. eremita	-2	NCBI:314302
Onuphis	-2	NCBI:271768
Diopatra neapolitana	-2	NCBI:552537
Rhamphobrachium	-2	NCBI:1577766
bipes	-2	NCBI:52187
impatiens	-2	NCBI:1758100
impatiens	-2	NCBI:35939
heteropoda	-2	NCBI:152924
Drilonereis	-2	NCBI:318775
Prionospio	-2	NCBI:94674
Magelona	-2	NCBI:46597
Cirratulus	-2	NCBI:104698
Brada villosa	-2	NCBI:307618
Flabelligera	-2	NCBI:307615
Ilyphagus	-2	NCBI:307613
Notomastus latericeus	-2	NCBI:167831
Sars	-2	NCBI:227859
Dasybranchus caducus	-2	NCBI:195228
Maldane cristata	-2	NCBI:73384
M. sarsi	-2	NCBI:273041
M. sarsi	-2	NCBI:720597
Clymene	-2	NCBI:1094581
Sars	-2	NCBI:227859
gracilis	-25	BTO:0000536
Clymene	-2	NCBI:1094581
Clymenella	-2	NCBI:292502
Nicomache	-2	NCBI:2066600
Nicomache	-2	NCBI:273039
Petaloproctus	-2	NCBI:2066693
Owenia fusiformis	-2	NCBI:6347
Sabellaria spinulosa	-2	NCBI:1436032
S. spinulosa	-2	NCBI:1385505
S. spinulosa	-2	NCBI:1436032
S. spinulosa	-2	NCBI:1876084
S. spinulosa	-2	NCBI:206302
S. spinulosa	-2	NCBI:213022
S. spinulosa	-2	NCBI:259823
S. spinulosa	-2	NCBI:305394
S. spinulosa	-2	NCBI:312460
S. spinulosa	-2	NCBI:369515
S. spinulosa	-2	NCBI:382047
Sars	-2	NCBI:227859
Thelepus	-2	NCBI:36106
Nicolea	-2	NCBI:876015
Polymnia	-2	NCBI:183069
nebulosa	-2	NCBI:741601
Loimia medusa	-2	NCBI:167822
Pista	-2	NCBI:104724
typha	-2	NCBI:4732
Demonax	-2	NCBI:157312
Demonax	-2	NCBI:1629332
Demonax	-2	NCBI:322733
leucaspis	-2	NCBI:340581
cingulata	-2	NCBI:948951
Branchiomma	-2	NCBI:431177
Serpula vermicularis	-2	NCBI:249369
Hydroides exaltata	-2	NCBI:2080595
H. homoceros	-2	NCBI:2080599
Spirobranchus giganteus	-2	NCBI:1914524
S. giganteus	-2	NCBI:1914524
S. giganteus	-2	NCBI:214897
S. giganteus	-2	NCBI:29677
S. giganteus	-2	NCBI:368699
S. giganteus	-2	NCBI:618648
S. giganteus	-2	NCBI:650331
S. giganteus	-2	NCBI:885422
S. giganteus	-2	NCBI:96053
Vermiliopsis	-2	NCBI:344942
acanthophora	-2	NCBI:385023
Placostegus tridentatus	-2	NCBI:479860
Ditrupa arietina	-2	NCBI:344925
Annelida	-2	NCBI:6340
Ocean	-27	ENVO:00000015
Ocean	-27	ENVO:01000048
Ocean	-27	ENVO:00000015
Ocean	-27	ENVO:01000048
Sigalion	-2	NCBI:104729
Chrysopetalum	-2	NCBI:115832
Notophyllum	-2	NCBI:329461
Lopadorhynchus	-2	NCBI:758489
Vanadis formosa	-2	NCBI:887200
Johnstonella	-2	NCBI:1213301
Tomopteris	-2	NCBI:397573
T. planktonis	-2	NCBI:2004712
Syllis	-2	NCBI:418360
Platynereis	-2	NCBI:6358
Nephthys	-2	NCBI:36120
Glycera	-2	NCBI:6349
Marphysa	-2	NCBI:104738
Brada villosa	-2	NCBI:307618
Flabelligera	-2	NCBI:307615
Maldane cristata	-2	NCBI:73384
Thelepus	-2	NCBI:36106
leucaspis	-2	NCBI:340581
Branchiomma	-2	NCBI:431177
Hydroides exaltata	-2	NCBI:2080595
Vermiliopsis	-2	NCBI:344942
acanthophora	-2	NCBI:385023
Notopygos	-2	NCBI:1288823
bristles	-25	BTO:0004212
caroli	-2	NCBI:1027115
pelagic	-27	ENVO:00000208
coast	-27	ENVO:00000303
Littoral	-27	ENVO:00000303
Littoral	-27	ENVO:00000316
pelagic	-27	ENVO:00000208
Lopadorhynchus	-2	NCBI:758489
Johnstonella	-2	NCBI:1213301
Tomopteris	-2	NCBI:397573
glands	-25	BTO:0000522
pedal	-2	NCBI:102327
pedal	-2	NCBI:102327
Platynereis	-2	NCBI:6358
Goniada	-2	NCBI:222000
gill	-25	BTO:0000518
Onuphis	-2	NCBI:271768
Rhamphobrachium	-2	NCBI:1577766
pedal	-2	NCBI:102327
pelagic	-27	ENVO:00000208
post-larva	-25	BTO:0002655
tropical	-2	NCBI:928838
tropical	-27	ENVO:01000204
Ilyphagus	-2	NCBI:307613
Maldane cristata	-2	NCBI:73384
Maldane	-2	NCBI:73383
Petaloproctus	-2	NCBI:2066693
Thelepus	-2	NCBI:36106
anal plate	-25	BTO:0000550
coast	-27	ENVO:00000303
Spirobranchus giganteus	-2	NCBI:1914524
Placostegus tridentatus	-2	NCBI:479860
Ocean	-27	ENVO:00000015
Ocean	-27	ENVO:01000048
lithothamnion	-2	NCBI:48598
lithothamnion	-2	NCBI:48598
